
=== Payroll for Manuel III Garcia ===
Week Start,Hours Worked,Gross Pay,Taxable Pay,SSS,Pag-IBIG,PhilHealth,Withholding Tax,Gross Deductions,Net Pay
06/03/2024,43.65,23,383.74,22,852.49,281.25,25.00,225.00,4,458.23,4,989.48,22,894.27
06/10/2024,45.48,24,364.09,23,832.84,281.25,25.00,225.00,4,458.23,4,989.48,23,874.62
06/17/2024,42.50,22,767.68,22,236.43,281.25,25.00,225.00,4,458.23,4,989.48,22,278.20
06/24/2024,38.82,20,796.26,20,265.01,281.25,25.00,225.00,4,458.23,4,989.48,20,306.79
07/01/2024,42.02,22,510.53,21,979.28,281.25,25.00,225.00,4,458.23,4,989.48,22,021.06
07/08/2024,40.08,21,471.26,20,940.01,281.25,25.00,225.00,4,458.23,4,989.48,20,981.78
07/15/2024,40.68,21,792.68,21,261.43,281.25,25.00,225.00,4,458.23,4,989.48,21,303.21
07/22/2024,41.00,21,964.11,21,432.86,281.25,25.00,225.00,4,458.23,4,989.48,21,474.64
07/29/2024,41.28,22,114.11,21,582.86,281.25,25.00,225.00,4,458.23,4,989.48,21,624.63
08/05/2024,36.17,19,376.63,18,845.38,281.25,25.00,225.00,4,458.23,4,989.48,18,887.16
08/12/2024,40.57,21,733.75,21,202.50,281.25,25.00,225.00,4,458.23,4,989.48,21,244.28
08/19/2024,36.60,19,606.99,19,075.74,281.25,25.00,225.00,4,458.23,4,989.48,19,117.51
08/26/2024,43.63,23,373.03,22,841.78,281.25,25.00,225.00,4,458.23,4,989.48,22,883.55
09/02/2024,41.02,21,974.82,21,443.57,281.25,25.00,225.00,4,458.23,4,989.48,21,485.35
09/09/2024,37.35,20,008.77,19,477.52,281.25,25.00,225.00,4,458.23,4,989.48,19,519.29
09/16/2024,39.93,21,390.90,20,859.65,281.25,25.00,225.00,4,458.23,4,989.48,20,901.43
09/23/2024,37.23,19,944.48,19,413.23,281.25,25.00,225.00,4,458.23,4,989.48,19,455.01
09/30/2024,39.42,21,117.69,20,586.44,281.25,25.00,225.00,4,458.23,4,989.48,20,628.21
10/07/2024,40.35,21,615.90,21,084.65,281.25,25.00,225.00,4,458.23,4,989.48,21,126.42
10/14/2024,45.25,24,240.88,23,709.63,281.25,25.00,225.00,4,458.23,4,989.48,23,751.40
10/21/2024,36.97,19,805.20,19,273.95,281.25,25.00,225.00,4,458.23,4,989.48,19,315.72
10/28/2024,41.37,22,162.32,21,631.07,281.25,25.00,225.00,4,458.23,4,989.48,21,672.85
11/04/2024,39.93,21,390.90,20,859.65,281.25,25.00,225.00,4,458.23,4,989.48,20,901.43
11/11/2024,34.73,18,605.21,18,073.96,281.25,25.00,225.00,4,458.23,4,989.48,18,115.73
11/18/2024,38.38,20,560.55,20,029.30,281.25,25.00,225.00,4,458.23,4,989.48,20,071.07
11/25/2024,47.15,25,258.73,24,727.48,281.25,25.00,225.00,4,458.23,4,989.48,24,769.25
12/02/2024,39.60,21,214.12,20,682.87,281.25,25.00,225.00,4,458.23,4,989.48,20,724.64
12/09/2024,38.77,20,769.48,20,238.23,281.25,25.00,225.00,4,458.23,4,989.48,20,280.00
12/16/2024,40.50,21,696.26,21,165.01,281.25,25.00,225.00,4,458.23,4,989.48,21,206.78
12/23/2024,41.72,22,349.82,21,818.57,281.25,25.00,225.00,4,458.23,4,989.48,21,860.35
12/30/2024,15.92,8,528.50,7,997.25,281.25,25.00,225.00,4,458.23,4,989.48,8,039.03

=== Payroll for Antonio Lim ===
Week Start,Hours Worked,Gross Pay,Taxable Pay,SSS,Pag-IBIG,PhilHealth,Withholding Tax,Gross Deductions,Net Pay
06/03/2024,44.42,15,864.16,15,332.91,281.25,25.00,225.00,2,291.69,2,822.94,17,541.22
06/10/2024,43.97,15,703.45,15,172.20,281.25,25.00,225.00,2,291.69,2,822.94,17,380.51
06/17/2024,41.25,14,732.02,14,200.77,281.25,25.00,225.00,2,291.69,2,822.94,16,409.09
06/24/2024,41.50,14,821.31,14,290.06,281.25,25.00,225.00,2,291.69,2,822.94,16,498.37
07/01/2024,36.20,12,928.47,12,397.22,281.25,25.00,225.00,2,291.69,2,822.94,14,605.53
07/08/2024,38.98,13,921.32,13,390.07,281.25,25.00,225.00,2,291.69,2,822.94,15,598.38
07/15/2024,35.60,12,714.18,12,182.93,281.25,25.00,225.00,2,291.69,2,822.94,14,391.25
07/22/2024,37.30,13,321.32,12,790.07,281.25,25.00,225.00,2,291.69,2,822.94,14,998.38
07/29/2024,40.83,14,582.03,14,050.78,281.25,25.00,225.00,2,291.69,2,822.94,16,259.09
08/05/2024,39.87,14,239.17,13,707.92,281.25,25.00,225.00,2,291.69,2,822.94,15,916.23
08/12/2024,40.97,14,632.03,14,100.78,281.25,25.00,225.00,2,291.69,2,822.94,16,309.09
08/19/2024,42.33,15,117.74,14,586.49,281.25,25.00,225.00,2,291.69,2,822.94,16,794.80
08/26/2024,39.88,14,242.74,13,711.49,281.25,25.00,225.00,2,291.69,2,822.94,15,919.81
09/02/2024,37.72,13,471.32,12,940.07,281.25,25.00,225.00,2,291.69,2,822.94,15,148.38
